"secs","depth","temp","distance","abund","sal","GeoMnESD","biomass","NBSS.Slope","lat","long","site","GA_depth","Norm.GeoMnESD","Norm.Biomass","Norm.abund"
5390,91.8456267039202,20.3260833333333,23158.2,430.739263338966,35.676125,0.000480307623563943,17.2319888462185,NA,-30,153.604416666667,"NorthSolitary",586,0.602945362117952,0.00119901285007856,0.0188041191490099
5410,70.5045878758007,21.0488947368421,23244.7,1175.01520454172,35.6677368421053,0.000468105146126601,73.4859670644846,NA,-30,153.605175438597,"NorthSolitary",628,0.587627205969187,0.00511320078007723,0.051295825081804
5430,51.6395213106717,21.3687894736842,23307.799982398,3833.21831036206,35.6548421052632,0.000440248723587493,135.753380667345,NA,-30,153.605780701754,"NorthSolitary",628,0.552658157069807,0.00944580740588578,0.167340894984751
5450,31.7796639099956,21.385380952381,23388.8,4357.13111870299,35.6530952380952,0.000456694669720737,259.256225441263,-1.05132173490207,-30,153.606468253968,"NorthSolitary",628,0.573303273782931,0.0180392146571725,0.190212547769239
5470,11.9179128321864,21.3892631578947,23470.4,4473.94031052537,35.6541578947368,0.000448479013469076,155.503970527704,-1.20762587638974,-30,153.607131578947,"NorthSolitary",628,0.562989900455775,0.010820066131941,0.19531190635499
5490,3.08879970277407,21.3847,23557.2,4450.16463716241,35.6558,0.00047722215814214,2434.23192974969,NA,-30,153.607783333333,"NorthSolitary",669,0.59907207971563,0.169375420904006,0.194273968482089
5510,20.8558723213746,21.3975555555556,23614,3902.99041001321,35.6562222222222,0.000455963892155494,161.746011705474,NA,-30.0001419753086,153.608327160494,"NorthSolitary",669,0.572385905575378,0.0112543913656477,0.170386827842012
5530,44.6840507206025,21.395,23703.9,3565.67925471591,35.6574761904762,0.000453493796602531,157.03662209483,NA,-30.0001666666667,153.609063492063,"NorthSolitary",669,0.569285116446536,0.0109267090122305,0.155661355394173
5550,64.5473851692717,21.2518947368421,23779.0499806378,2048.27182150943,35.6628947368421,0.000475851469697204,149.995032565727,NA,-30.0001666666667,153.609692982456,"NorthSolitary",669,0.597351411126923,0.0104367506907785,0.0894182412874519
5570,83.9026864155172,20.61105,23849.8,361.016923852313,35.67775,0.000468128147473745,18.1689943931725,NA,-30.0001666666667,153.610283333333,"NorthSolitary",711,0.587656080288275,0.00126421029776836,0.0157603585944421
5630,115.56412171874,19.7933888888889,24096.9000145845,195.407166666776,35.6658888888889,0.000422012909785264,9.74268722730174,NA,-30.0000185185185,153.61237962963,"NorthSolitary",711,0.529766162820549,0.000677902433902426,0.00853058905308317
5670,70.5046023026026,21.2358823529412,24225.3,1804.33050252986,35.6650588235294,0.000502373152964178,108.27099355829,NA,-30,153.613607843137,"NorthSolitary",759,0.630644919572046,0.00753356526200689,0.0787688716620765
